Fiscal Year,Service,Department,Program,Expense Category,Fund,Fund Type,Expense Type,Description,Recommended Amount,Approved Amount
2016,Utilities & Transportation,City Light,Compliance and Security,Compliance and Security,NA,NA,Expense,Compliance and Security,0,3652641
2016,Utilities & Transportation,City Light,Conservation Resources and Environmental Affairs O&M,Conservation Resources and Environmental Affairs O&M,NA,NA,Expense,Conservation Resources and Environmental Affairs O&M,0,62047103
2016,Utilities & Transportation,City Light,Customer Focused - CIP,Customer Focused - CIP,NA,NA,Expense,Customer Focused - CIP,0,73129129
2016,Utilities & Transportation,City Light,Customer Services,Customer Services,NA,NA,Expense,Customer Services,0,31726510
2016,Utilities & Transportation,City Light,Debt Service,Debt Service - BCL,NA,NA,Expense,Debt Service - BCL,0,207693126
2016,Utilities & Transportation,City Light,Distribution Services,Distribution Services,NA,NA,Expense,Distribution Services,0,77983852
2018,"Arts, Culture & Recreation",Library,Library Programs and Services,Information Technology,NA,NA,Expense,Information Technology,,5394437
2016,Utilities & Transportation,City Light,Financial Services - CIP,Financial Services - CIP,NA,NA,Expense,Financial Services - CIP,0,20302210
2016,Utilities & Transportation,City Light,Financial Services - O&M,Financial Services - O&M,NA,NA,Expense,Financial Services - O&M,0,43116622
2016,Utilities & Transportation,City Light,General Expenses,General Expenses,NA,NA,Expense,General Expenses,0,101091764
2016,Utilities & Transportation,City Light,Human Resources,Human Resources,NA,NA,Expense,Human Resources,0,9228643
2016,Utilities & Transportation,City Light,Long-Term Purchased Power,Long-Term Purchased Power,NA,NA,Expense,Long-Term Purchased Power,0,312449567
2016,Utilities & Transportation,City Light,Office of Superintendent,Office of Superintendent,NA,NA,Expense,Office of Superintendent,0,3534612
2016,Utilities & Transportation,City Light,Power Supply & Environmental Affairs - CIP,Power Supply & Environmental Affairs - CIP,NA,NA,Expense,Power Supply & Environmental Affairs - CIP,0,74456759
2016,Utilities & Transportation,City Light,Power Supply O&M,Power Supply O&M,NA,NA,Expense,Power Supply O&M,0,51720186
2016,Utilities & Transportation,City Light,Short-Term Purchased Power,Short-Term Purchased Power,NA,NA,Expense,Short-Term Purchased Power,0,41345274
2016,Utilities & Transportation,City Light,Taxes,Taxes,NA,NA,Expense,Taxes,0,93459200
2016,Utilities & Transportation,City Light,Transmission and Distribution - CIP,Transmission and Distribution - CIP,NA,NA,Expense,Transmission and Distribution - CIP,0,162657896
2016,Administration,Civil Rights,Administration,Administration,NA,NA,Expense,Administration,0,1158003
2016,Administration,Civil Rights,Civil Rights,Civil Rights,NA,NA,Expense,Civil Rights,0,3074357
2016,Administration,Civil Rights,Labor Standards,Labor Standards,NA,NA,Expense,Labor Standards,0,1929887
2016,Administration,Civil Service Commissions,Civil Service Commissions,Civil Service Commissions,NA,NA,Expense,Civil Service Commissions,0,506518
2016,Administration,Community Police Commission,Office of the Community Police Commission,Office of the Community Police Commission,NA,NA,Expense,Office of the Community Police Commission,0,850480
2016,Neighborhoods & Development,Construction and Inspections,Annual Certification and Inspection,Annual Certification and Inspection,NA,NA,Expense,Annual Certification and Inspection,0,4096261
2016,Neighborhoods & Development,Construction and Inspections,Code Compliance,Code Compliance,NA,NA,Expense,Code Compliance,0,5389568
2016,Neighborhoods & Development,Construction and Inspections,Code Compliance,Code Development,NA,NA,Expense,Code Development,0,1043946
2016,Neighborhoods & Development,Construction and Inspections,Code Compliance,Rental Housing,NA,NA,Expense,Rental Housing,0,2437256
2016,Neighborhoods & Development,Construction and Inspections,Construction Inspections,Building Inspections,NA,NA,Expense,Building Inspections,0,5697741
2016,Neighborhoods & Development,Construction and Inspections,Construction Inspections,Construction Inspections Unallocated CBA,NA,NA,Expense,Construction Inspections Unallocated CBA,0,2318752
2016,Neighborhoods & Development,Construction and Inspections,Construction Inspections,Electrical Inspections,NA,NA,Expense,Electrical Inspections,0,5792546
2016,Neighborhoods & Development,Construction and Inspections,Construction Inspections,Signs and Billboards,NA,NA,Expense,Signs and Billboards,0,349985
2016,Neighborhoods & Development,Construction and Inspections,Construction Inspections,Site Review and Inspection,NA,NA,Expense,Site Review and Inspection,0,4302502
2016,Neighborhoods & Development,Construction and Inspections,Construction Permit Services,Construction Permit Services Overhead Allocations,NA,NA,Expense,Construction Permit Services Overhead Allocations,0,-2020647
2016,Neighborhoods & Development,Construction and Inspections,Construction Permit Services,Construction Permit Services Unallocated CBA,NA,NA,Expense,Construction Permit Services Unallocated CBA,0,4073484
2016,Neighborhoods & Development,Construction and Inspections,Construction Permit Services,Construction Plans Administration,NA,NA,Expense,Construction Plans Administration,0,17053370
2016,Neighborhoods & Development,Construction and Inspections,Construction Permit Services,Operations Division Management,NA,NA,Expense,Operations Division Management,0,2020647
2016,Neighborhoods & Development,Construction and Inspections,Department Leadership,Community Engagement,NA,NA,Expense,Community Engagement,0,396953
2016,Neighborhoods & Development,Construction and Inspections,Department Leadership,Department Leadership Overhead Allocations,NA,NA,Expense,Department Leadership Overhead Allocations,0,-15551374
2016,Neighborhoods & Development,Construction and Inspections,Department Leadership,Director's Office,NA,NA,Expense,Director's Office,0,841686
2016,Neighborhoods & Development,Construction and Inspections,Department Leadership,Finance and Accounting Services,NA,NA,Expense,Finance and Accounting Services,0,6880689
2016,Neighborhoods & Development,Construction and Inspections,Department Leadership,Human Resources,NA,NA,Expense,Human Resources,0,313306
2016,Neighborhoods & Development,Construction and Inspections,Department Leadership,Information Technology Services,NA,NA,Expense,Information Technology Services,0,7118740
2016,Neighborhoods & Development,Construction and Inspections,Land Use Services,Land Use Services,NA,NA,Expense,Land Use Services,0,13114084
2016,Neighborhoods & Development,Construction and Inspections,Land Use Services,Land Use Services Unallocated CBA,NA,NA,Expense,Land Use Services Unallocated CBA,0,1672241
2016,Neighborhoods & Development,Construction and Inspections,Land Use Services,Public Resource Center,NA,NA,Expense,Public Resource Center,0,1860374
2016,Neighborhoods & Development,Construction and Inspections,Planning,Design Commission,NA,NA,Expense,Design Commission,0,0
2016,Neighborhoods & Development,Construction and Inspections,Planning,Planning Commission,NA,NA,Expense,Planning Commission,0,0
2016,Neighborhoods & Development,Construction and Inspections,Planning,Planning Services,NA,NA,Expense,Planning Services,0,0
2016,Neighborhoods & Development,Construction and Inspections,Process Improvements and Technology,Process Improvements and Technology,NA,NA,Expense,Process Improvements and Technology,0,3742411
2016,Public Safety,Criminal Justice Contracted Services,Indigent Defense Services,Indigent Defense Services,NA,NA,Expense,Indigent Defense Services,0,7333471
2016,Public Safety,Criminal Justice Contracted Services,Jail Services,Jail Services,NA,NA,Expense,Jail Services,0,17087312
2016,"Funds, Subfunds & Other",Cumulative Reserve Subfund,Artwork Conservation - OACA - CRS REET I,Artwork Conservation - OACA REET I,NA,NA,Expense,Artwork Conservation - OACA REET I,0,0
2016,"Funds, Subfunds & Other",Cumulative Reserve Subfund,Artwork Conservation - OACA - CRS-UR,Artwork Conservation - OACA,NA,NA,Expense,Artwork Conservation - OACA,0,187000
2016,Administration,Finance General,Reserves,Police Department Reserve,NA,NA,Expense,Police Department Reserve,0,0
2016,"Funds, Subfunds & Other",Cumulative Reserve Subfund,CRS REET I Support to McCaw Hall Fund,CRS REET I Support to McCaw Hall Fund,NA,NA,Expense,CRS REET I Support to McCaw Hall Fund,0,265000
2016,"Funds, Subfunds & Other",Cumulative Reserve Subfund,CRS REET I Support to Transportation,Corridor & Intersection Improvements - REET I,NA,NA,Expense,Corridor & Intersection Improvements - REET I,0,0
2016,"Funds, Subfunds & Other",Cumulative Reserve Subfund,CRS REET I Support to Transportation,Roads - REET I,NA,NA,Expense,Roads - REET I,0,0
2016,"Funds, Subfunds & Other",Cumulative Reserve Subfund,CRS REET I Support to Transportation,Trails and Bike Paths - REET I,NA,NA,Expense,Trails and Bike Paths - REET I,0,0
2016,"Funds, Subfunds & Other",Cumulative Reserve Subfund,CRS REET II Support to Transportation,Alaskan Way Viaduct - REET II,NA,NA,Expense,Alaskan Way Viaduct - REET II,0,14940000
2016,"Funds, Subfunds & Other",Cumulative Reserve Subfund,CRS REET II Support to Transportation,Bridges & Structures - REET II,NA,NA,Expense,Bridges & Structures - REET II,0,3571000
2016,"Funds, Subfunds & Other",Cumulative Reserve Subfund,CRS REET II Support to Transportation,Corridor & Intersection Improvements - REET II,NA,NA,Expense,Corridor & Intersection Improvements - REET II,0,708000
2016,"Funds, Subfunds & Other",Cumulative Reserve Subfund,CRS REET II Support to Transportation,Debt Service (SDOT) - REET II,NA,NA,Expense,Debt Service (SDOT) - REET II,0,1348313
2016,"Funds, Subfunds & Other",Cumulative Reserve Subfund,CRS REET II Support to Transportation,Freight Mobility - REET II,NA,NA,Expense,Freight Mobility - REET II,0,1013000
2016,"Funds, Subfunds & Other",Cumulative Reserve Subfund,CRS REET II Support to Transportation,Intelligent Transportation System - REET II,NA,NA,Expense,Intelligent Transportation System - REET II,0,800000
2016,"Funds, Subfunds & Other",Cumulative Reserve Subfund,CRS REET II Support to Transportation,Landslide Mitigation - REET II,NA,NA,Expense,Landslide Mitigation - REET II,0,200000
2016,"Funds, Subfunds & Other",Cumulative Reserve Subfund,CRS REET II Support to Transportation,Neighborhood Enhancements - REET II,NA,NA,Expense,Neighborhood Enhancements - REET II,0,1793000
2016,"Funds, Subfunds & Other",Cumulative Reserve Subfund,CRS REET II Support to Transportation,New Trails and Bike Paths - REET II,NA,NA,Expense,New Trails and Bike Paths - REET II,0,100000
2016,"Funds, Subfunds & Other",Cumulative Reserve Subfund,CRS REET II Support to Transportation,Roads - REET II,NA,NA,Expense,Roads - REET II,0,1150000
2016,"Funds, Subfunds & Other",Cumulative Reserve Subfund,CRS REET II Support to Transportation,Sidewalk Maintenance - REET II,NA,NA,Expense,Sidewalk Maintenance - REET II,0,0
2016,"Funds, Subfunds & Other",Cumulative Reserve Subfund,CRS REET II Support to Transportation,Sidewalks & Pedestrian Facilities - REET II,NA,NA,Expense,Sidewalks & Pedestrian Facilities - REET II,0,481000
2016,"Funds, Subfunds & Other",Cumulative Reserve Subfund,CRS REET II Support to Transportation,Trails and Bike Paths - REET II,NA,NA,Expense,Trails and Bike Paths - REET II,0,0
2016,"Funds, Subfunds & Other",Cumulative Reserve Subfund,CRS REET II Support to Transportation,Transit & HOV - REET II,NA,NA,Expense,Transit & HOV - REET II,0,0
2016,"Funds, Subfunds & Other",Cumulative Reserve Subfund,CRS Street Vacation Support to Transportation,Alaskan Way Viaduct - SV,NA,NA,Expense,Alaskan Way Viaduct - SV,0,1543000
2016,"Funds, Subfunds & Other",Cumulative Reserve Subfund,CRS Street Vacation Support to Transportation,Bridges & Structures - SV,NA,NA,Expense,Bridges & Structures - SV,0,2660000
2016,"Funds, Subfunds & Other",Cumulative Reserve Subfund,CRS Street Vacation Support to Transportation,Corridor and Intersection Improvements - CRS-SV,NA,NA,Expense,Corridor and Intersection Improvements - CRS-SV,0,0
2016,"Funds, Subfunds & Other",Cumulative Reserve Subfund,CRS Street Vacation Support to Transportation,Freight Mobility,NA,NA,Expense,Freight Mobility,0,0
2016,"Funds, Subfunds & Other",Cumulative Reserve Subfund,CRS Street Vacation Support to Transportation,Intelligent Transportation System - SV,NA,NA,Expense,Intelligent Transportation System - SV,0,0
2016,"Funds, Subfunds & Other",Cumulative Reserve Subfund,CRS Street Vacation Support to Transportation,Neighborhood Enhancements - CRS-SV,NA,NA,Expense,Neighborhood Enhancements - CRS-SV,0,0
2016,"Funds, Subfunds & Other",Cumulative Reserve Subfund,CRS Street Vacation Support to Transportation,Roads - Street Vacations,NA,NA,Expense,Roads - Street Vacations,0,795000
2016,"Funds, Subfunds & Other",Cumulative Reserve Subfund,CRS Street Vacation Support to Transportation,Transit & HOV - SV,NA,NA,Expense,Transit & HOV - SV,0,1411000
2016,"Funds, Subfunds & Other",Cumulative Reserve Subfund,CRS Support for Operating & Maintenance Expenditures - REET I,CRS O&M Expenditures,NA,NA,Expense,CRS O&M Expenditures,0,1000000
2016,"Funds, Subfunds & Other",Cumulative Reserve Subfund,CRS Support for Operating & Maintenance Expenditures - REET II,CRS O&M Support Program - REET II,NA,NA,Expense,CRS O&M Support Program - REET II,0,1000000
2016,"Funds, Subfunds & Other",Cumulative Reserve Subfund,CRS Support for Operating & Maintenance Expenditures - South Lake Union Property Proceeds,South Lake Union Transfer to GF,NA,NA,Expense,South Lake Union Transfer to GF,0,100000
2016,"Funds, Subfunds & Other",Cumulative Reserve Subfund,CRS-U Support to General Subfund,CRS-U Support to General Subfund,NA,NA,Expense,CRS-U Support to General Subfund,0,0
2016,"Funds, Subfunds & Other",Cumulative Reserve Subfund,CRS-U Support to Transportation,CRS-U Support to Transportation,NA,NA,Expense,CRS-U Support to Transportation,0,2300000
2016,"Funds, Subfunds & Other",Cumulative Reserve Subfund,CRS-U Support to Transportation,Debt Service (SDOT) - CRS-U,NA,NA,Expense,Debt Service (SDOT) - CRS-U,0,0
2016,"Funds, Subfunds & Other",Cumulative Reserve Subfund,CRS-U Support to Transportation,Transit & HOV - CRS-U,NA,NA,Expense,Transit & HOV - CRS-U,0,0
2016,"Funds, Subfunds & Other",Cumulative Reserve Subfund,Debt Service for REET  II -  Eligible Projects,CRS Debt Service REET II,NA,NA,Expense,CRS Debt Service REET II,0,2751762
2016,"Funds, Subfunds & Other",Cumulative Reserve Subfund,Debt Service for REET I - Eligible Projects,CRS Debt SVC REET I,NA,NA,Expense,CRS Debt SVC REET I,0,3239762
